# SPDX-FileCopyrightText: 2026 Tom Haynes <loghyr@gmail.com>
# SPDX-License-Identifier: AGPL-3.0-or-later
codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
mojette-nonsys,8+2,262144,5,675,545,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,1048576,1,1229,1066,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,1048576,1,1350,1178,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,1048576,1,1968,1615,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,1048576,1,2187,1635,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,1048576,1,2331,2983,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,1048576,1,1684,1438,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,1048576,1,1937,1514,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,1048576,1,2116,1785,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,1048576,2,1224,1078,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,1048576,2,1371,1234,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,1048576,2,1977,1651,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,1048576,2,2166,1710,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,1048576,2,2396,2818,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,1048576,2,1658,1451,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,1048576,2,1888,1382,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,1048576,2,1952,1965,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,1048576,3,1194,1094,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,1048576,3,1436,1266,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,1048576,3,1974,1697,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,1048576,3,2187,1589,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,1048576,3,2258,2370,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,1048576,3,1713,1374,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,1048576,3,1921,1432,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,1048576,3,2057,2007,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,1048576,4,1227,1112,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,1048576,4,1378,1183,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,1048576,4,2010,1676,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,1048576,4,2089,1696,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,1048576,4,2180,2895,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,1048576,4,1657,1374,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,1048576,4,1879,1375,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,1048576,4,1949,1939,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,1048576,5,1179,1117,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,1048576,5,1359,1177,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,1048576,5,1928,1632,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,1048576,5,2245,1650,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,1048576,5,2148,2287,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,1048576,5,1711,1425,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,1048576,5,1854,1457,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,1048576,5,2003,1817,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,4194304,1,4347,4124,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,4194304,1,4621,4334,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,4194304,1,7133,6324,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,4194304,1,8510,6523,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,4194304,1,8809,9346,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,4194304,1,6129,5485,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,4194304,1,7324,5404,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,4194304,1,102268,114,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,4194304,2,4248,4258,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,4194304,2,4841,4466,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,4194304,2,7238,6731,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,4194304,2,9492,6714,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,4194304,2,9120,10387,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,4194304,2,6260,5513,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,4194304,2,7546,5770,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,4194304,2,8307,7315,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,4194304,3,4461,4197,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,4194304,3,4892,4574,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
rs,4+2,4194304,3,7334,6379,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,4+2,4194304,3,9047,6623,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,4+2,4194304,3,9274,10639,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
rs,8+2,4194304,3,6175,5487,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-sys,8+2,4194304,3,7540,5502,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
mojette-nonsys,8+2,4194304,3,7441,7042,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
plain,1+0,4194304,4,4425,4250,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,4096,simd
stripe,10+0,4194304,4,4652,4311,OK,healthy,v1,x86_64,Intel(R) Core(TM) i5-9500 CPU @ 3.00GHz,7.0.0-10950-g339daa9ec960,avx2,simd
