# SPDX-FileCopyrightText: 2026 Tom Haynes <loghyr@gmail.com>
# SPDX-License-Identifier: AGPL-3.0-or-later
codec,geom,file_size,run,write_ms,read_ms,verify,mode,layout,cpu,shard_size,simd_mode
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,simd
mojette-sys,8+2,1048576,2,157,126,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,1048576,2,165,479,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,1048576,3,110,95,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,1048576,3,124,109,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,1048576,3,173,144,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,1048576,3,171,142,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,1048576,3,179,308,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,1048576,3,150,133,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,1048576,3,159,126,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,1048576,3,161,440,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,1048576,4,108,94,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,1048576,4,118,104,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,1048576,4,170,142,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,1048576,4,173,142,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,1048576,4,177,308,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,1048576,4,150,125,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,1048576,4,151,135,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,1048576,4,215,439,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,1048576,5,104,95,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,1048576,5,119,105,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,1048576,5,171,147,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,1048576,5,174,146,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,1048576,5,175,315,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,1048576,5,150,126,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,1048576,5,151,121,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,1048576,5,152,438,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,4194304,1,359,320,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,4194304,1,411,411,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,4194304,1,647,608,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,4194304,1,662,556,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,4194304,1,751,1245,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,4194304,1,586,511,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,4194304,1,579,466,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,4194304,1,8201,1785,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,4194304,2,376,325,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,4194304,2,397,373,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,4194304,2,609,536,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,4194304,2,677,552,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,4194304,2,683,1215,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,4194304,2,526,428,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,4194304,2,542,448,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,4194304,2,732,1740,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,4194304,3,369,357,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,4194304,3,440,383,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,4194304,3,619,546,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,4194304,3,723,554,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,4194304,3,699,1225,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,4194304,3,521,481,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,4194304,3,542,479,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,4194304,3,719,1744,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,4194304,4,370,345,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,4194304,4,397,372,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,4194304,4,603,559,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,4194304,4,737,543,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,4194304,4,803,1206,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,4194304,4,523,461,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,4194304,4,624,494,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,4194304,4,618,1751,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,4194304,5,377,391,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,4194304,5,399,375,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,4194304,5,607,569,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,4194304,5,660,500,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,4194304,5,688,1204,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,4194304,5,516,458,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,4194304,5,608,455,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,4194304,5,577,1737,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,16777216,1,8207,1285,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,16777216,1,1429,1395,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,16777216,1,2222,2027,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,16777216,1,2471,2048,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,16777216,1,2595,8862,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,16777216,1,1929,1732,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,16777216,1,2189,1929,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,16777216,1,2427,6969,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,16777216,2,1168,1220,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,16777216,2,1410,1373,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,16777216,2,2316,1976,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,16777216,2,2455,2034,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,16777216,2,2496,7914,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,16777216,2,1921,1786,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,16777216,2,2183,1763,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,16777216,2,2100,7006,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,16777216,3,1332,1271,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,16777216,3,1437,1406,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,16777216,3,2309,2032,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,16777216,3,2474,2045,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,16777216,3,2553,4800,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,16777216,3,2018,1731,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,16777216,3,2151,1790,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,16777216,3,2356,9739,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,16777216,4,1335,1307,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,16777216,4,1464,1450,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,16777216,4,2308,2092,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,16777216,4,2629,2003,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,16777216,4,3072,4714,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,16777216,4,1930,1784,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,16777216,4,2277,1796,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,16777216,4,2265,6783,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
plain,1+0,16777216,5,1355,1280,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
stripe,10+0,16777216,5,1431,1407,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,simd
rs,4+2,16777216,5,2209,2004,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,4+2,16777216,5,2479,2013,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,4+2,16777216,5,2577,4733,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
rs,8+2,16777216,5,1915,1691,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-sys,8+2,16777216,5,2211,1733,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
mojette-nonsys,8+2,16777216,5,2208,6777,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,neon,4096,simd
codec,geometry,size_bytes,run,write_ms,read_ms,verify,mode,layout,arch,cpu,kernel,simd,scalar
plain,1+0,65536,1,28,15,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
stripe,10+0,65536,1,35,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),scalar
rs,4+2,65536,1,38,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-sys,4+2,65536,1,37,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-nonsys,4+2,65536,1,38,34,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
rs,8+2,65536,1,36,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-sys,8+2,65536,1,35,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-nonsys,8+2,65536,1,36,43,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
plain,1+0,65536,2,30,16,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
stripe,10+0,65536,2,36,24,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),scalar
rs,4+2,65536,2,37,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-sys,4+2,65536,2,37,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-nonsys,4+2,65536,2,38,34,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
rs,8+2,65536,2,36,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-sys,8+2,65536,2,36,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-nonsys,8+2,65536,2,36,43,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
plain,1+0,65536,3,29,15,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
stripe,10+0,65536,3,35,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),scalar
rs,4+2,65536,3,37,23,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
mojette-sys,4+2,65536,3,35,22,OK,healthy,v1,aarch64,,6.19.8-200.fc43.aarch64,scalar(forced),4096,scalar
